Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.test.service,UsersServiceRepoTest,4,0,1,1,9,1,0,0,0.0,0,4,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/test/java/com/hlb/dblogging/test/service/UsersServiceRepoTest.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersServiceImpl,2,0,11,11,118,21,0,1,0.18181818181818182,0,6,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/security/users/service/UsersServiceImpl.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UserToAccessRightsService,0,0,7,0,9,7,1,0,-1.0,0,1,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/security/users/service/UserToAccessRightsService.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,AccessRightsServiceImpl,2,0,8,8,68,11,0,1,0.0,0,2,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/security/users/service/AccessRightsServiceImpl.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,RoleServiceImpl,3,1,9,9,77,13,0,1,0.0,0,2,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/security/users/service/RoleServiceImpl.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UsersService,0,0,11,0,13,11,1,0,-1.0,1,1,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/security/users/service/UsersService.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,RoleService,0,0,9,0,11,9,1,0,-1.0,0,1,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/security/users/service/RoleService.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,AccessRightsService,0,0,8,0,10,8,1,0,-1.0,0,1,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/security/users/service/AccessRightsService.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.security.users.service,UserToAccessRightsServiceImpl,2,0,8,8,53,10,0,1,0.375,0,4,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/security/users/service/UserToAccessRightsServiceImpl.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.repository,UserToAccessRightsRepository,0,0,3,0,5,3,0,0,-1.0,2,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/repository/UserToAccessRightsRepository.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.repository,AuditDetailRepository,0,0,2,0,4,2,0,0,-1.0,1,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/repository/AuditDetailRepository.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.repository,SystemAuditTrailRecordRepository,0,0,2,0,4,2,0,0,-1.0,1,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/repository/SystemAuditTrailRecordRepository.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.repository,XSLTRepository,0,0,9,0,11,9,0,0,-1.0,1,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/repository/XSLTRepository.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.repository,UsersRepository,0,0,6,0,8,6,0,0,-1.0,2,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/repository/UsersRepository.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.repository,RoleRepository,0,0,5,0,7,5,0,0,-1.0,1,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/repository/RoleRepository.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.repository,AccessLogRepository,0,0,1,0,3,1,0,0,-1.0,1,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/repository/AccessLogRepository.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.repository,AuditMasterRepository,0,0,5,0,7,5,0,0,-1.0,2,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/repository/AuditMasterRepository.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.repository,ConfigurationPropertiesRepository,0,0,2,0,4,2,0,0,-1.0,1,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/repository/ConfigurationPropertiesRepository.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.repository,AccessRightsRepository,0,0,4,0,6,4,0,0,-1.0,2,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/repository/AccessRightsRepository.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.model,AccessLog,9,0,18,18,66,18,0,0,0.16666666666666666,1,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/model/AccessLog.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.model,AuditDetail,9,0,17,17,64,17,0,0,0.11764705882352941,3,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/model/AuditDetail.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.model,XSLT,12,0,22,22,82,22,0,0,0.0,2,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/model/XSLT.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.model,ConfigurationProperties,7,0,17,17,62,17,0,0,0.35294117647058826,1,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/model/ConfigurationProperties.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.model,AuditMaster,33,0,65,65,232,65,0,0,0.15384615384615385,3,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/model/AuditMaster.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.model,SystemAuditTrail,9,0,16,16,61,16,0,0,0.5,3,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/model/SystemAuditTrail.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.model,Users,12,0,22,22,82,22,0,0,0.5,3,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/model/Users.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.model,SearchBean,9,0,19,19,68,19,0,0,0.21052631578947367,3,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/model/SearchBean.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.model,UserToAccessRights,5,0,10,10,37,10,0,0,0.5,2,2,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/model/UserToAccessRights.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.model,Role,10,0,21,21,83,22,0,0,0.2857142857142857,4,1,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/model/Role.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.model,AccessRights,9,0,20,20,86,21,0,0,0.1,5,1,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/model/AccessRights.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.service,AuditDetailServiceImpl,1,0,5,4,69,10,0,1,0.0,1,5,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/service/AuditDetailServiceImpl.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.service,AuditMasterService,0,0,5,0,7,5,1,0,-1.0,1,2,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/service/AuditMasterService.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.service,XSLTServiceImpl,1,0,5,5,85,11,0,1,0.0,0,3,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/service/XSLTServiceImpl.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.service,ConfigurationPropertiesServiceImpl,1,0,5,5,49,8,0,1,0.0,0,3,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/service/ConfigurationPropertiesServiceImpl.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.service,QueryXML,0,0,8,5,294,50,0,0,-1.0,1,4,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/service/QueryXML.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.service,ConfigurationPropertiesService,0,0,5,0,7,5,1,0,-1.0,0,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/service/ConfigurationPropertiesService.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.service,AuditMasterServiceImpl,1,0,12,5,109,21,0,1,0.0,0,4,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/service/AuditMasterServiceImpl.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.service,XSLTService,0,0,5,0,7,5,1,0,-1.0,0,1,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/service/XSLTService.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.jpa.service,AuditDetailService,0,0,3,0,5,3,1,0,-1.0,0,1,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/jpa/service/AuditDetailService.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.user.audit.logging,SystemAuditTrailRecordService,0,0,6,0,8,6,1,0,-1.0,1,1,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/user/audit/logging/SystemAuditTrailRecordService.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.user.audit.logging,AuditTrail,1,0,3,3,26,5,0,0,0.0,0,3,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/user/audit/logging/AuditTrail.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.user.audit.logging,SystemAuditTrailRecordServiceImpl,2,0,6,6,39,9,0,1,0.0,0,2,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/user/audit/logging/SystemAuditTrailRecordServiceImpl.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.user.accesslog.logging,AccessLogService,0,0,2,1,4,2,1,0,-1.0,0,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/user/accesslog/logging/AccessLogService.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.user.accesslog.logging,AccessLogServiceImpl,1,0,2,2,21,2,0,1,0.0,0,2,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/user/accesslog/logging/AccessLogServiceImpl.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.xml.utility,EbcdicToAsciiConvertUtility,10,0,8,3,91,17,0,0,0.0,1,2,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/xml/utility/EbcdicToAsciiConvertUtility.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.xml.utility,XSLTransformer,13,13,0,0,15,0,0,0,-1.0,1,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/xml/utility/XSLTransformer.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.log.utility,ConfigurationHolder,1,0,5,4,56,9,0,0,0.0,2,1,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/log/utility/ConfigurationHolder.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.log.utility,ApplLogger,1,0,1,1,9,2,0,0,0.0,10,1,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/log/utility/ApplLogger.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.exception.utility,BSLException,1,0,4,4,20,4,0,0,1.0,0,0,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/exception/utility/BSLException.java
lakshminarayanar_DBLogging_JPA,com.hlb.dblogging.dsl.predicates,AuditMasterPredicates,0,0,1,1,22,11,0,0,-1.0,0,2,/Users/Tushar/Documents/Workspace/autoencoder/repos/lakshminarayanar_DBLogging_JPA/src/main/java/com/hlb/dblogging/dsl/predicates/AuditMasterPredicates.java
